GROUP	NAME	VAR	LIGHT	DARK
Background / Surface	Background primary	color-background-primary	#ffffff	#30302e
Background / Surface	Background secondary	color-background-secondary	#f5f4ed	#262624
Background / Surface	Background tertiary	color-background-tertiary	#faf9f5	#141413
Background / Surface	Background inverse	color-background-inverse	#141413	#faf9f5
Background / Surface	Background ghost	color-background-ghost	rgba(255,255,255,0)	rgba(48,48,46,0)
Background / Accent	Background info	color-background-info	#d6e4f6	#253e5f
Background / Accent	Background danger	color-background-danger	#b53333	#dd5353
Background / Accent	Background success	color-background-success	#e9f1dc	#1b4614
Background / Accent	Background warning	color-background-warning	#f6eedf	#483a0f
Background / Accent	Background disabled	color-background-disabled	rgba(255,255,255,0.5)	rgba(48,48,46,0.5)
Text / Surface	Text primary	color-text-primary	#141413	#faf9f5
Text / Surface	Text secondary	color-text-secondary	#3d3d3a	#c2c0b6
Text / Surface	Text tertiary	color-text-tertiary	#73726c	#9c9a92
Text / Surface	Text inverse	color-text-inverse	#ffffff	#141413
Text / Surface	Text ghost	color-text-ghost	rgba(115,114,108,0.5)	rgba(156,154,146,0.5)
Text / Accent	Text info	color-text-info	#3266ad	#80aadd
Text / Accent	Text danger	color-text-danger	#7f2c28	#ee8884
Text / Accent	Text success	color-text-success	#265b19	#7ab948
Text / Accent	Text warning	color-text-warning	#5a4815	#d1a041
Text / Accent	Text disabled	color-text-disabled	rgba(20,20,19,0.5)	rgba(250,249,245,0.5)
Border / Surface	Border primary	color-border-primary	rgba(31,30,29,0.4)	rgba(222,220,209,0.4)
Border / Surface	Border secondary	color-border-secondary	rgba(31,30,29,0.3)	rgba(222,220,209,0.3)
Border / Surface	Border tertiary	color-border-tertiary	rgba(31,30,29,0.15)	rgba(222,220,209,0.15)
Border / Surface	Border inverse	color-border-inverse	rgba(255,255,255,0.3)	rgba(20,20,19,0.15)
Border / Surface	Border ghost	color-border-ghost	rgba(31,30,29,0)	rgba(222,220,209,0)
Border / Accent	Border info	color-border-info	#4682d5	#4682d5
Border / Accent	Border danger	color-border-danger	#a73d39	#cd5c58
Border / Accent	Border success	color-border-success	#437426	#599130
Border / Accent	Border warning	color-border-warning	#805c1f	#a87829
Border / Accent	Border disabled	color-border-disabled	rgba(31,30,29,0.1)	rgba(222,220,209,0.1)
Ring / Surface	Ring primary	color-ring-primary	rgba(20,20,19,0.7)	rgba(250,249,245,0.7)
Ring / Surface	Ring secondary	color-ring-secondary	rgba(61,61,58,0.7)	rgba(194,192,182,0.7)
Ring / Surface	Ring inverse	color-ring-inverse	rgba(255,255,255,0.7)	rgba(20,20,19,0.7)
Ring / Accent	Ring info	color-ring-info	rgba(50,102,173,0.5)	rgba(128,170,221,0.5)
Ring / Accent	Ring danger	color-ring-danger	rgba(167,61,57,0.5)	rgba(205,92,88,0.5)
Ring / Accent	Ring success	color-ring-success	rgba(67,116,38,0.5)	rgba(89,145,48,0.5)
Ring / Accent	Ring warning	color-ring-warning	rgba(128,92,31,0.5)	rgba(168,120,41,0.5)
